country_code,totalloans.approved,totalloans.incounty,prop.approved
37001,2542,2986,0.851306095110516
37003,394,447,0.881431767337808
37005,134,166,0.807228915662651
37007,143,212,0.674528301886793
37009,345,409,0.843520782396088
37011,362,430,0.841860465116279
37013,535,639,0.837245696400626
37015,69,108,0.638888888888889
37017,174,285,0.610526315789474
37019,4545,5127,0.886483323581042
37021,3996,4595,0.869640914036997
37023,1041,1190,0.874789915966387
37025,4265,4815,0.885773624091381
37027,894,1046,0.854684512428298
37029,212,241,0.879668049792531
37031,1578,1831,0.861824139814309
37033,147,202,0.727722772277228
37035,2232,2510,0.889243027888446
37037,1414,1567,0.902361199744735
37039,540,633,0.853080568720379
37041,140,178,0.786516853932584
37043,193,219,0.881278538812785
37045,1089,1378,0.790275761973875
37047,309,505,0.611881188118812
37049,1621,1857,0.872913301023156
37051,4317,4963,0.869836792262744
37053,870,968,0.898760330578512
37055,1304,1426,0.914446002805049
37057,2272,2616,0.868501529051988
37059,623,696,0.895114942528736
37061,283,450,0.628888888888889
37063,5419,5849,0.926483159514447
37065,290,413,0.702179176755448
37067,5587,6257,0.89291992967876
37069,1349,1565,0.861980830670927
37071,3746,4299,0.871365433821819
37073,87,114,0.763157894736842
37075,94,116,0.810344827586207
37077,867,1001,0.866133866133866
37079,118,181,0.651933701657459
37081,7238,8121,0.891269548085211
37083,287,408,0.70343137254902
37085,2366,2690,0.879553903345725
37087,1040,1247,0.834001603849238
37089,2091,2375,0.880421052631579
37091,98,135,0.725925925925926
37093,1037,1157,0.89628349178911
37095,31,44,0.704545454545455
37097,3521,3953,0.890715911965596
37099,587,705,0.832624113475177
37101,4711,5194,0.907008086253369
37103,79,119,0.663865546218487
37105,774,901,0.859045504994451
37107,372,477,0.779874213836478
37109,1754,1957,0.896269800715381
37111,531,629,0.844197138314785
37113,621,724,0.857734806629834
37115,249,310,0.803225806451613
37117,121,182,0.664835164835165
37119,20519,22694,0.904159689785847
37121,162,202,0.801980198019802
37123,240,296,0.810810810810811
37125,2152,2360,0.911864406779661
37127,1142,1342,0.85096870342772
37129,4815,5245,0.918017159199237
37131,136,192,0.708333333333333
37133,4163,4587,0.907564857205145
37135,1977,2134,0.926429240862231
37137,176,220,0.8
37139,536,612,0.875816993464052
37141,1365,1578,0.865019011406844
37143,146,184,0.793478260869565
37145,483,570,0.847368421052632
37147,2287,2572,0.889191290824261
37149,265,314,0.843949044585987
37151,1522,1774,0.857948139797069
37153,324,439,0.738041002277904
37155,700,1335,0.52434456928839
37157,941,1164,0.808419243986254
37159,1977,2274,0.869393139841689
37161,773,919,0.841131664853101
37163,425,588,0.722789115646259
37165,229,318,0.720125786163522
37167,850,960,0.885416666666667
37169,484,562,0.861209964412811
37171,660,818,0.806845965770171
37173,150,179,0.837988826815642
37175,534,618,0.864077669902913
37177,28,42,0.666666666666667
37179,4675,5192,0.900423728813559
37181,301,376,0.800531914893617
37183,21858,23802,0.91832619107638
37185,189,252,0.75
37187,40,67,0.597014925373134
37189,854,974,0.876796714579055
37191,1253,1455,0.861168384879725
37193,628,775,0.810322580645161
37195,814,948,0.858649789029536
37197,308,376,0.819148936170213
37199,222,274,0.81021897810219
